UPC,SKU,Item Description,Qty,Cost Price,List Price,Link
8.10E+11,N9S2MS-IPH16PMX-CL,Nimbus9 Stratus 2 iPhone 16 Pro Max MagSafe Case - Clear,5,$13.09 ,54.99,https://www.balajiwireless.com/nimbus9-stratus-2-iphone-16-pro-max-magsafe-case?quantity=1&color=2006
8.88E+11,CL-GLC-SAMGS25U-CL,CLICK Screen Protector for Galaxy S25 Ultra - Clear,5,$1.02 ,24.99,https://www.balajiwireless.com/click-galaxy-s25-ultra-screen-protector?quantity=1&color=1549
8.10E+11,N9AL-SAMGS25U-CL,Nimbus9 Alto 2 Galaxy S25 Ultra Case - Clear,3,$5.25 ,34.99,https://www.balajiwireless.com/nimbus9-alto-2-galaxy-s25-ultra-case?quantity=1&color=1549
8.10E+11,N9AL-SAMGS25U-BLK,Nimbus9 Alto 2 Galaxy S25 Ultra Case - Black,3,$5.25 ,34.99,https://www.balajiwireless.com/nimbus9-alto-2-galaxy-s25-ultra-case?quantity=1&color=1407
8.10E+11,N9C3MS-SAMGS25U-BLK,Nimbus9 Cirrus 3 Galaxy S25 Ultra MagSafe Case - Black,5,$11.80 ,49.99,https://www.balajiwireless.com/nimbus9-cirrus-3-galaxy-s25-ultra-magsafe-case?quantity=1&color=2372
8.10E+11,N9C3MS-SAMGS25U-TTM,Nimbus9 Cirrus 3 Galaxy S25 Ultra MagSafe Case - Titanium,3,$11.80 ,49.99,https://www.balajiwireless.com/nimbus9-cirrus-3-galaxy-s25-ultra-magsafe-case?quantity=1&color=1407
8.88E+11,CL-VIVD-IPD109-BLRB,CLICK Vivid Series Case for iPad 10.9in (10th generation) - Blue Rainbow,3,$9.30 ,44.99,https://www.balajiwireless.com/click-vivid-series-ipad-109-inch-case?quantity=1&color=2408
8.88E+11,CL-BDGD-IPD109-BK,CLICK BuddyGuard Series Case for iPad 10.9in (10th generation) - Black,3,$8.30 ,39.99,https://www.balajiwireless.com/click-buddyguard-series-ipad-109-inch-case?quantity=1&color=1407
8.88E+11,CL-PTN-IPD109-BK,CLICK Proton Series Case for iPad 10.9in (10th generation) - Black,3,$9.30 ,44.99,https://www.balajiwireless.com/click-proton-series-ipad-109-inch-case?quantity=1&color=2407
8.88E+11,CL-PTN-IPD109-RGD,CLICK Proton Series Case for iPad 10.9in (10th generation) - Rose Gold,3,$9.30 ,44.99,https://www.balajiwireless.com/click-proton-series-ipad-109-inch-case?quantity=1&color=1407
8.10E+11,N9MT-WDSHWLC-BK,Nimbus9 Wireless Charging Magnetic Suction Cup Phone Mount - Black,3,$18.02 ,$69.99 ,https://www.balajiwireless.com/nimbus9-wireless-charging-Magnetic-Suction-Cup-phone-mount?quantity=1&color=1407
8.88E+11,CL-USLMS-IPH16-PK,CLICK Ultra Slim MagSafe Series iPhone 16 Case - Pink,4,$4.30 ,$34.99 ,https://www.balajiwireless.com/click-ultra-slim-magsafe-series-iphone-16-case?quantity=1&color=1817
8.88E+11,CL-USLMS-IPH16-PU,CLICK Ultra Slim MagSafe Series iPhone 16 Case - Purple,3,$4.30 ,$34.99 ,https://www.balajiwireless.com/click-ultra-slim-magsafe-series-iphone-16-case?quantity=1&color=1744
8.10E+11,N9ALMS-IPH16PRO-BLK,Nimbus9 Alto 2 iPhone 16 Pro MagSafe Case - Black,5,$5.81 ,$39.99 ,https://www.balajiwireless.com/nimbus9-alto-2-iphone-16-pro-magsafe-case?quantity=1&color=1549
8.10E+11,N9S2MS-IPH16PRO-CNFT,Nimbus9 Stratus 2 iPhone 16 Pro MagSafe Case - Confetti,3,$11.80 ,$49.99 ,https://www.balajiwireless.com/nimbus9-stratus-2-iphone-16-pro-magsafe-case?quantity=1&color=1798
8.10E+11,N9V1MS-IPH16PRO-CL,Nimbus9 Vantage iPhone 16 Pro MagSafe Case - Clear,5,$8.93 ,$44.99 ,https://www.balajiwireless.com/nimbus9-vantage-iphone-16-pro-magsafe-case?quantity=1&color=1549
8.10E+11,N9ALMS-IPH15-BL,Nimbus9 Alto 2 iPhone 15 MagSafe Case - Blue,5,$6.95 ,$39.99 ,https://www.balajiwireless.com/nimbus9-alto-2-iphone-15-case-magsafe?quantity=1&color=1707
8.10E+11,N9ALMS-IPHSE25-BK,Nimbus9 Alto 2 iPhone 16e/13/14/15 MagSafe Case - Black,7,$7.05 ,$39.99 ,https://www.balajiwireless.com/nimbus9-alto-2-iphone-16e-case?quantity=1&color=1549
