UPC,SKU,Item Description,Qty,Whole Sale Unit Price,Actual Unit Price,
8.88E+11,TWS-ENCZ2-WH,ZIZO Encore Z2 Active Noise Cancelling Earbuds - White,5,$20.30 ,79.99,
8.88E+11,LSP-1MLNANO,ZIZO Liquid Screen Protector 1ml,10,$3.95 ,34.99,
8.10E+11,N9V1MS-IPH16PLUS-CL,Nimbus9 Vantage iPhone 16 Plus MagSafe Case - Clear,3,$10.03 ,49.99,
8.10E+11,N9S2MS-IPH16PRO-SM,Nimbus9 Stratus 2 iPhone 16 Pro MagSafe Case - Smoke,3,$11.80 ,49.99,
8.10E+11,N9AL-SAMGS25P-CL,Nimbus9 Alto 2 Galaxy S25 Plus Case - Clear,3,$5.25 ,34.99,
8.10E+11,N9AL-SAMGS25P-BLK,Nimbus9 Alto 2 Galaxy S25 Plus Case - Black,3,$5.25 ,34.99,
8.88E+11,CL-GLC-SAMGS25P-CL,CLICK Screen Protector for Galaxy S25 Plus - Clear,5,$1.02 ,24.99,
8.10E+11,N9S2MS-SAMGS25P-SM,Nimbus9 Stratus 2 Galaxy S25 Plus MagSafe Case - Smoke,3,$11.80 ,49.99,
8.10E+11,N9S2MS-SAMGS25P-CLFR,Nimbus9 Stratus 2 Galaxy S25 Plus MagSafe Case - Clear Frost,3,$11.80 ,49.99,
8.88E+11,CL-IMP-SAMGS24FE-AP,CLICK Impact Series Galaxy S24 FE Case - Aqua Pink,3,$3.30 ,29.99,
8.88E+11,CL-IMP-SAMGS24FE-RDBK,CLICK Impact Series Galaxy S24 FE Case - Red Black,3,$3.30 ,29.99,
8.88E+11,CL-GLC-SAMGS25-CL,CLICK Screen Protector for Galaxy S25 - Clear,5,$1.02 ,24.99,
8.10E+11,N9P3MS-SAMGS25-SM,Nimbus9 Phantom 3 Galaxy S25 MagSafe Case - Smoke,3,$14.10 ,59.99,
8.88E+11,CL-GLP-IPH16PLUS-PC,CLICK Privacy Shield Screen Protector for iPhone 16 Plus - Privacy,3,$2.27 ,34.99,
8.88E+11,ZPV-3IN1-CCADCC-WH,ZIZO PowerVault 30W Dual Port Car Charger Bundle + USB-C Cable + USB-A Adapter - White,5,$6.85 ,39.99,
8.88E+11,ZPV-2IN1WC-20WCC-BK,ZIZO PowerVault 20W Charger Bundle with 4FT Braided Nylon USB-C Cable - Black,3,$5.65 ,39.99,
8.88E+11,ZPV-WC-20WDD-BK,ZIZO PowerVault 20W USB-C + USB-A Wall Charger with Digital Power Display - Black,10,$4.85 ,34.99,
8.88E+11,CL-GLP-IPH16PRO-PC,CLICK Privacy Shield Screen Protector for iPhone 16 Pro - Privacy,3,$2.27 ,34.99,
8.10E+11,N9V1MS-IPH16PRO-CL,Nimbus9 Vantage iPhone 16 Pro MagSafe Case - Clear,4,$10.03 ,49.99,
8.88E+11,CL-USLMS-IPH16-WH,CLICK Ultra Slim MagSafe Series iPhone 16 Case - White,2,$4.30 ,29.99,
8.88E+11,CL-USLMS-IPH16-BK,CLICK Ultra Slim MagSafe Series iPhone 16 Case - Black,2,$4.30 ,29.99,
8.10E+11,N9P3MS-IPH16-CL,Nimbus9 Phantom 3 iPhone 16 MagSafe Case - Clear,4,$13.10 ,54.99,
8.10E+11,N9C3MS-IPH16-BLK,Nimbus9 Cirrus 3 iPhone 16 MagSafe Case - Black,4,$11.80 ,54.99,
8.88E+11,CL-GLP-IPHSE25-PC,CLICK Privacy Shield Screen Protector for iPhone 16e/13/14/15 - Privacy,6,$1.52 ,34.99,
8.10E+11,N9C3MS-IPH16PMX-BLK,Nimbus9 Cirrus 3 iPhone 16 Pro Max MagSafe Case - Black,5,$11.80 ,54.99,
8.10E+11,N9C3MS-IPH16PMX-TTM,Nimbus9 Cirrus 3 iPhone 16 Pro Max MagSafe Case - Titanium,5,$11.80 ,54.99,
8.88E+11,TFM-SAMGS24FE-BKBK,ZIZO TRANSFORM Series Galaxy S24 FE Case - Black,5,$4.85 ,29.99,
8.88E+11,REV-IPH16PLUS-MGBK,ZIZO REVOLVE Series iPhone 16 Plus Case - Magnetic Black,5,$4.18 ,29.99,
8.10E+11,N9AL-SAMGS25-BLK,Nimbus9 Alto 2 Galaxy S25 Case - Black,3,$5.25 ,34.99,
8.10E+11,N9AL-SAMGS25-CL,Nimbus9 Alto 2 Galaxy S25 Case - Clear,6,$5.25 ,34.99,
8.10E+11,N9P3MS-SAMGS25-PB,Nimbus9 Phantom 3 Galaxy S25 MagSafe Case - Pacific Blue,3,$14.10 ,59.99,
8.88E+11,LSHD-IPH16-CL,ZIZO TEMPERED GLASS Screen Protector for iPhone 16 - Clear,5,$2.52 ,24.99,
8.88E+11,PLSHD-IPHSE25-PC,ZIZO PRIVACY Tempered Glass Screen Protector for iPhone 16e/13/14/14 Pro - Privacy,3,$4.57 ,34.99,
8.88E+11,PLSHD-IPH16PMX-PC,ZIZO PRIVACY Tempered Glass Screen Protector for iPhone 16 Pro Max - Privacy,3,$4.57 ,34.99,
8.88E+11,LSHD-IPH16PMX-CL,ZIZO TEMPERED GLASS Screen Protector for iPhone 16 Pro Max - Clear,5,$2.52 ,24.99,
8.88E+11,LSHD-IPHSE25-CL,ZIZO TEMPERED GLASS Screen Protector for iPhone 16e/13/14/14 Pro - Clear,8,$2.52 ,24.99,
8.10E+11,N9ALMS-IPHSE25-CL,Nimbus9 Alto 2 iPhone 16e/13/14/15 MagSafe Case - Clear,7,$6.45 ,34.99,
